Time_spent_Alone,Stage_fear,Social_event_attendance,Going_outside,Drained_after_socializing,Friends_circle_size,Post_frequency,Personality,social_alone_ratio,friends_and_posts,drained_by_social
-0.1437876653781701,0.0,0.0199066463865907,1.350612571858396,0.0,1.5967869745797376,0.5002707034860258,0.0,-0.2886073944903299,1.028065368985827,-0.6720445778605773
1.3091190579552574,1.0,-1.3711602095438489,-1.350612571858396,1.0,-1.471765831091386,-0.19074384288667,1.0,-0.8302431780540928,-0.9134490684060058,-0.6720445778605773
1.3091190579552574,1.0,-1.023393495561239,-0.4502041906194653,1.0,-0.2915532135255693,-0.5362511160730179,1.0,-0.7489978105195283,-0.6147545395764931,0.2613506691680023
-1.3061130440449122,0.0,0.7154400743518106,1.8008167624778617,0.0,1.832829498092901,1.5367925230450694,0.0,2.6903894151103653,2.431929654484537,-0.6720445778605773
-0.4343690100448557,0.0,1.7587402162996402,0.4502041906194653,0.0,0.4165743570139207,0.5002707034860258,0.0,0.0499149702370218,0.2813290469120452,-0.6720445778605773
-1.0155316993782266,0.0,1.0632067883344205,0.9004083812389307,0.0,-0.0555106900124059,0.8457779766723736,0.0,0.7946641726371958,0.16185123538024,-0.6720445778605773
-0.1437876653781701,0.0,1.7587402162996402,0.0,0.0,0.1805318335007574,1.1912852498587214,0.0,-0.1802802377775773,0.5501541228586067,-0.6720445778605773
-0.7249503547115411,0.0,1.4109735023170302,0.4502041906194653,0.0,0.1805318335007574,1.5367925230450694,0.0,0.2530283890734329,0.7592402930392657,-0.6720445778605773
1.5997004026219428,1.0,-1.023393495561239,0.0,1.0,-1.471765831091386,-0.19074384288667,1.0,-0.7317639446788631,-0.9134490684060058,0.2613506691680023
-1.3061130440449122,0.0,1.4109735023170302,1.350612571858396,0.0,1.5967869745797376,1.5367925230450694,0.0,2.961207306892246,2.1929740314209267,-0.6720445778605773
-0.4343690100448557,0.0,1.7587402162996402,1.350612571858396,0.0,2.0688720216060643,0.5002707034860258,0.0,0.1853239161279625,1.32675989781534,-0.6720445778605773
